date,text,state,query_term
2020-03-18 19:47:52+00:00,@SBAgov trying to figure this out for small business in Washington DC. Federal government approved District of Columbia’s Emergency Declaration and yet your website does not show it. #sba #coronavirus @CMCharlesAllen,Washington,emergency declaration
2020-03-14 22:03:04+00:00,"With yesterday’s declaration of national emergency responding to #COVID-19, you may be hearing references to SSA #1135, which allows HHS Secretary to waive certain Medicare, Medicaid, &amp; CHIP requirements. As a result of this authority, #CMS is issuing blanket waivers. 1/2",Washington,emergency declaration
2020-03-14 19:04:14+00:00,We still need government to function for people..just like everyone else is adapting so should state governments. Modern technology can allow for different forms of virtual sessions for example. The Gov also has enhanced powers under the emergency declaration to act unilaterally.,Washington,emergency declaration
2020-03-14 05:00:08+00:00,"a national emergency declaration. Furthermore, last week, Congress passed an $8.3 billion relief package, which I supported despite not having time to fully vet the bill (just like this measure). Now, this bill will cost perhaps tens, if not hundreds, of billions of dollars more.",Washington,emergency declaration
2020-03-13 21:10:18+00:00,"Thank goodness for the national emergency declaration. So much for those that said this was fake news or media hype. This is a serious, global issue.",Washington,emergency declaration
2020-03-13 20:43:52+00:00,"Now with Emergency Declaration, state medicaid programs can get rapid approval to do the same through an 1135 waiver https://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/SurveyCertEmergPrep/1135-Waivers",Washington,emergency declaration
2020-03-13 19:49:04+00:00,Why is the Orange POTUS shaking hands with the CEO’s at the White House emergency declaration event?,Washington,emergency declaration
2020-03-13 19:10:43+00:00,White House Press Corps awaiting the President in the Rose Garden for an unexpected announcement. There is still speculation over whether this press conference would be a Declaration of National Emergency to free up $40bill in federal funding for states. @OANN,Washington,emergency declaration
2020-03-13 19:02:35+00:00,"So, this is my question also...no one seems to be addressing the supply chain disruptions and hoarding (which needs to stop with supermarkets and retail limiting items per person/family)...this to me at this point is even more scary and needing an emergency declaration",Washington,emergency declaration
2020-03-13 16:41:41+00:00,On Thursday a senior admin official told @benstracy that @realDonaldTrump was seriously considering declaring a national emergency declaration. ,Washington,emergency declaration
2020-03-13 16:38:07+00:00,.@CBSNews confirms: Admin sources tell @weijia &amp; I that @realDonaldTrump is likely to declare a national state of emergency and may invoke the Stafford Act to increase FEMA funding &amp; other fed govt operations for national emergencies that come w/ that official declaration.,Washington,emergency declaration
2020-03-12 08:41:09+00:00,"Trump's coronavirus task force is reportedly awaiting 'research' from Jared Kushner before making an emergency declaration Jake Lahut and Sonam Sheth | March 12, 2020 https://www.businessinsider.com/jared-kushners-research-is-holding-up-a-coronavirus-order-report-2020-3?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter via @businessinsider",Washington,emergency declaration
2020-03-12 02:48:57+00:00,"Welp, starting to look like @TedLeonsis is going to be let off the hook for saying that #capitals and #wizards games will go on as normal, despite @MayorBowser’s emergency declaration. #coronavirus #COVID19",Washington,emergency declaration
2020-03-11 23:05:08+00:00,His “research” being to look into what investments the family should make to best profit off of the emergency declaration. #Grifters #GrifterInChief,Washington,emergency declaration
2020-03-11 21:54:36+00:00,"Thanks. Latest from race organizers was that they were proceeding as planned, but that may have been before the emergency declaration.",Washington,emergency declaration
2020-03-11 21:38:55+00:00," Trump is delaying issuing a #COVID19 emergency declaration “until Jared Kushner, the president’s senior adviser and son-in-law, finishes his research and comes to a conclusion himself.” ",Washington,emergency declaration
2020-03-02 21:20:30+00:00,"No immediate need for a federal emergency declaration due to #coronavirus, according to @POTUS. – at The White House",Washington,emergency declaration
2020-03-18 23:22:17+00:00,Parking meters should be a no-brainer to suspend if folks are losing their jobs left and right — especially when there is a mayoral declaration of state of emergency. This isn’t complicated to reason.,Washington,emergency declaration
2020-03-16 12:11:26+00:00,Follow @MayaTPrabhu for the latest on the special session to sign off on Georgia Gov Kemp’s declaration of a state of emergency ,Washington,emergency declaration
2020-03-15 15:21:54+00:00,Statement from Secretary of @CommerceGov Wilbur Ross on President Trump's Declaration of a National Emergency #COVIDー19 #CoronavirusUS https://www.commerce.gov/news/press-releases/2020/03/statement-secretary-commerce-wilbur-ross-president-donald-j-trumps-0,Washington,emergency declaration
2020-03-14 15:46:22+00:00,So important that stockpiled PPE & critical medical material promptly be distributed to hot spots while knowing that eventually all areas will face surge & so $freed up from the national emergency/Stafford Act declaration must go first to procure more of these items. #COVID19,Washington,emergency declaration
2020-03-14 13:55:48+00:00,So far I survived a pandemic and declaration of national emergency but I don’t know if I’ll survive departing out of Gate 35X – at Ronald Reagan Washington National Airport (DCA),Washington,emergency declaration
2020-03-14 12:40:28+00:00,"The President’s declaration of a nationwide emergency increases federal interagency support to HHS, lead federal agency for COVID19 response.",Washington,emergency declaration
2020-03-14 05:10:50+00:00,"Given the declaration of the State of Emergency in the United States, we strongly urge citizens of the Republic of #Azerbaijan residing in the U.S. to register with the respective consular offices of Azerbaijan in Washington, D.C. or Los Angeles, C.A. @azconsulatela",Washington,emergency declaration
2020-03-13 21:38:33+00:00,"So @realDonaldTrump declaration of national emergency &amp; release of $50bln floodgates was def what markets were looking for. They soared, but for how long? Let’s see. He will certainly feel happy to see the screens go GREEN and with it perhaps his credibility somewhat restored.",Washington,emergency declaration
2020-03-13 20:19:19+00:00,"rump declares national emergency to combat coronavirus, authorizes waiving of laws and regulations Trump's declaration comes as he's faced increasing criticism over his administration's response to the pandemic.… https://www.instagram.com/p/B9r9kXOJJ1h/?igshid=7k5b59xxic7g",Washington,emergency declaration
2020-03-12 12:19:46+00:00,"Due to @MayorBowser’s recent declaration of the state of emergency we understand the need to access help remotely. We are here to support your mental health needs via a secure online portal for tele-#Mentalhealth therapy at this time for future, new, &amp; existing clients.",Washington,emergency declaration
2020-03-11 20:51:07+00:00,".@realDonaldTrump now says his statement is at 9pm Eastern. Still expecting some form of travel restriction/ban from Europe, perhaps declaration of national state of emergency .",Washington,emergency declaration
2020-03-09 14:47:45+00:00,"Dir D.C. Homeland Security and Emergency Management Agency Chris Rodriguez says a declaration of a public emergency would give her a long list of expanded powers including preventing price gouging, imposing curfews, regulating business hours and imposing quarantine",Washington,emergency declaration
2020-03-08 01:19:09+00:00,"Cherry blossom fest not yet cancelled dc mayor bowser says, not declaring state of emergency bc she says currently has all authority she needs (given this is a federal district I really don’t know but does seem different than the kind of state benefits the declaration gives)",Washington,emergency declaration
2020-03-06 02:33:31+00:00,Breaking: Payer Day has been cancelled due to @GovLarryHogan’s declaration of a State of Emergency in Maryland after three patients in Montgomery County tested positive for #coronavirus.,Washington,emergency declaration
